"title","genre","creative_type","source","release","rating","budget","us_gross","worldwide_gross","rotten_rating","imdb_rating","imdb_votes"
"The Reader","드라마","현대소설","책","2000년대","19세이상","330","341","1061","61","7.7","46,984"
"The Rocker","코미디","현대소설","없음","2000년대","15세이상","150","64","87","40","6.3","11,859"
"Rock Star","드라마","현대소설","없음","2000년대","19세이상","380","169","193","52","5.8","15,806"
"Romeo Must Die","액션","현대소설","없음","2000년대","19세이상","250","559","910","33","5.9","25,309"
"Road Trip","코미디","현대소설","없음","2000년대","19세이상","160","685","1197","59","6.4","44,702"
"Rules of Engagement","스릴러","현대소설","책","2000년대","19세이상","600","613","717","37","6.2","18,462"
"Rush Hour 2","액션","현대소설","없음","2000년대","15세이상","900","2261","3474","51","6.4","52,049"
"Saw VI","호러","현대소설","없음","2000년대","19세이상","110","276","612","42","6.2","18,091"
"About Schmidt","드라마","현대소설","책","2000년대","19세이상","300","650","1058","85","7.3","53,760"
"Shutter Island","스릴러","역사소설","책","2000년대","19세이상","800","1280","2945","67","8","105,706"
"Shrek","어드벤처","아동소설","책","2000년대","7세이상","500","2676","4843","89","8","163,855"
"Shrek 2","어드벤처","아동소설","책","2000년대","7세이상","700","4412","9198","89","7.5","95,658"
"The Sixth Sense","스릴러","현대소설","없음","90년대","15세이상","400","2935","6728","85","8.2","238,745"
"The Skeleton Key","호러","현대소설","없음","2000년대","15세이상","400","479","929","38","6.5","29,810"
"Sleepy Hollow","호러","역사소설","책","90년대","19세이상","700","1010","2070","68","7.5","107,511"
"Superbad","코미디","현대소설","없음","2000년대","19세이상","175","1214","1698","87","7.8","134,212"
"Superman Returns","어드벤처","영웅물","만화","2000년대","15세이상","2320","2001","3911","76","6.6","102,751"
"Small Time Crooks","코미디","현대소설","없음","2000년대","7세이상","180","172","299","66","6.5","15,636"
"Stepmom","드라마","현대소설","없음","90년대","15세이상","500","911","1197","43","6.2","18,505"
"The Perfect Storm","드라마","각색","책","2000년대","15세이상","1200","1826","3287","47","6.2","55,716"
"Tadpole","코미디","현대소설","없음","2000년대","15세이상","1","28","32","78","6.1","3,800"
"The Tale of Despereaux","어드벤처","아동소설","책","2000년대","전체관람가","600","508","887","55","6.1","7,460"
"Tears of the Sun","액션","현대소설","없음","2000년대","19세이상","750","436","856","34","6.4","34,304"
"The Box","스릴러","판타지","책","2000년대","15세이상","250","150","263","45","6.8","418"
"The League of Extraordinary Gentlemen","어드벤처","영웅물","만화","2000년대","15세이상","780","664","1792","17","5.5","50,710"
"The Mist","호러","공상과학","책","2000년대","19세이상","130","255","547","73","7.4","76,830"
"Tomorrow Never Dies","액션","현대소설","책","90년대","15세이상","1100","1253","3395","55","6.4","46,650"
"The Town","드라마","현대소설","책","2000년대","19세이상","370","309","331","84","8.7","493"
